"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-3.783e+09
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",-1.9617e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",-1.6722e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",-1.6029e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-1.8169e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-1.8875e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-1.9228e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-1.6824e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-9.955e+09
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",-1.3091e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-1.3956e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",-1.6809e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",-1.6274e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",-1.7241e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",-1.5849e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-1.0108e+10
"CAN","Canada",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-1.5483e+10
