"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units",,,101.4632,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2021-05","May-2021","IDX","Index","0","Units",,,101.2481,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units",,,100.8238,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.1265,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,101.0934,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,101.0396,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.9498,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.8538,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.8024,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.7684,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,100.7304,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,100.7393,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,100.6316,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,100.5726,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,100.5795,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,100.5476,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,100.5359,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,100.5229,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,100.5484,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,100.4985,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,100.1943,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,99.57172,,
