"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,5.8728099,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,5.6969005,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,5.4787217,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,5.0710469,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,4.90947,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,5.4,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,5.1,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,5,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,5.2,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,4.9,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,5.1,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,4.9,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,5.1,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,4.9,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,4.6,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,4.8,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,5,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,4.6,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,4.9,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,4.4,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,4.5,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,4.5,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,4.5,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,4.9,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,6,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,7.2,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,7.7,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,6.7,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,6.4,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,6.3,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,6.1,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,6.1,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,6.8,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,7.3,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,7,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,6.8,"P","Provisional value"
