"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.6654,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.68752,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.62005,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.51975,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.45196,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.45125,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.37662,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.31432,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.23809,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,0.03005,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.10365,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.37368,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.30238,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.19743,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.0861,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.04386,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.08677,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.2574,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.09377,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.04577,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.09738,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.13086,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.24852,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.27995,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.31736,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.398,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.41138,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.42243,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.39948,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.19685,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.0887,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,-0.04086,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.08033,,
"IRLTLT01","Long-term interest rate","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.02291,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.77,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.85,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.81,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.75,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.77,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.69,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.54,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.47,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.41,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,0.15,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,0,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.28,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.24,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.16,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.04,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0.01,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.03,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.13,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.02,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.14,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.04,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.04,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.17,,
