"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,49637200000,,
"CAN","Canada","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,49845300000,,
"CAN","Canada","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,49356100000,,
"CAN","Canada","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,50196200000,,
"CAN","Canada","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,50971300000,,
"CZE","Czech Republic","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,371499952055,,
"CZE","Czech Republic","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,389287765481,,
"CZE","Czech Republic","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,397533455601,,
"CZE","Czech Republic","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,366514129651,,
"CZE","Czech Republic","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,371143727532,,
"CZE","Czech Republic","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,321785190270,,
"CZE","Czech Republic","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,365833453534,,
"CZE","Czech Republic","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,354443086499,,
"CZE","Czech Republic","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,318697310366,,
"CZE","Czech Republic","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,338884670914,,
"DNK","Denmark","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,57990200000,,
"DNK","Denmark","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,58961300000,,
"DNK","Denmark","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,59488200000,,
"DNK","Denmark","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,56811000000,,
"DNK","Denmark","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,60615500000,,
"DNK","Denmark","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,51682100000,,
"DNK","Denmark","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,52965800000,,
"DNK","Denmark","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,52504400000,,
"DNK","Denmark","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,50164300000,,
"DNK","Denmark","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,53765200000,,
"FIN","Finland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,5354100000,,
"FIN","Finland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,5465700000,,
"FIN","Finland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,5526800000,,
"FIN","Finland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,5462400000,,
"FIN","Finland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,5897700000,,
"FIN","Finland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,5404800000,,
"FIN","Finland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,5571200000,,
