"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,3000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,-1596000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-186000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,2463000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,578000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-3499000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-2104000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,899000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,1135000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,1010000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,149000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,386000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-917000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-1620000000,,
"BEL","Belgium","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-3783000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,-19617000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,-16722000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,-16029000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-18169000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,-18875000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-19228000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-16824000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-9955000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,-13091000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-13956000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,-16809000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,-16274000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,-17241000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-15849000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-10108000000,,
"CAN","Canada","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-15483000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,93367000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,-48374000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,-48395000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,14685000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,119547000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-10017000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-19212000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-16098000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,110523000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-2117000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,-30053000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,5111000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,51453000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,5388000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-52390000000,,
"CZE","Czech Republic","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,11084000000,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,49836249515,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,38017958492,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,44209424511,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,35832367483,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,40126657653,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,43765387115,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,35132092846,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,47248862387,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,52079658921,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,47341572036,,
