"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.3705,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.399090909,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.314090909,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.187058824,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.132727273,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.0555,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.010952381,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,-0.0395,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,-0.134545455,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.315263158,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.38826087,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.649090909,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.594761905,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.469545455,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.352380952,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.299444444,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.313636364,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.466,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.541818182,,
