"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,0.89,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.86,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.91,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.92,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.88,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.89,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.9,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.82,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,0.87,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.98,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,1.05,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,1.32,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,1.69,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,1.65,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,1.62,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,1.52,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.948333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.344167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.2566667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,1.83,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.03,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,1.97,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,1.963333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.953333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.503333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.023333,,
